Province,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
ACEH,29.39,9.44,1.59,10.98,41.12,77.48,68.04,99.84,6.07,64.18,1.96
SUMATERA UTARA,16.75,9.71,0.84,8.7,44.76,82.3,69.5,99.49,5.82,67.26,5.48
SUMATERA BARAT,11.96,9.18,0.67,7.31,42.24,69.27,81.33,99.52,6.23,58.18,2.05
RIAU,13.62,9.22,0.76,15.12,37.61,84.06,73.03,99.13,4.39,69.43,2.4
JAMBI,15.32,8.68,1.75,12.14,46.28,79.54,74.73,99.43,4.65,60.85,1.32
SUMATERA SELATAN,23.85,8.37,1.24,7.37,56.31,78.62,73.99,99.56,4.69,59.96,3.14
BENGKULU,28.96,8.91,2.03,11.66,49.31,79.58,79.18,99.61,3.49,54.98,0.75
LAMPUNG,23.01,8.18,2.49,14.63,54.33,83.65,79.3,99.77,4.42,61.24,3.33
KEP. BANGKA BELITUNG,9.06,8.11,1.7,15.19,21.21,91.63,90.82,99.85,4.48,30.79,0.54
KEP. RIAU,12.27,10.37,0.87,11.3,19.89,87.74,82.38,99.76,8.13,46.69,0.79
DKI JAKARTA,9.3,11.31,0.31,3.42,30.28,92.79,79.13,99.91,7.59,36.23,3.87
JAWA BARAT,16.04,8.78,1.38,6.75,39.04,74.02,78.86,99.98,8.35,53.37,17.92
JAWA TENGAH,21.91,7.93,5.27,12.34,54.34,84.37,86.65,99.98,5.66,67.02,13.43
DI YOGYAKARTA,22.83,9.75,4.53,13.48,71.88,96.21,86.08,99.96,3.9,84.94,1.36
JAWA TIMUR,20.87,8.03,6.15,10.27,54.57,81.13,81.17,99.98,5.15,66.28,14.92
BANTEN,12.4,9.13,1.68,2.46,37.04,85.12,80.54,99.8,8.31,60.98,4.44
BALI,9.1,9.39,4.11,7.72,43.87,95.94,90.43,99.99,4.82,81.65,1.6
NUSA TENGGARA BARAT,27.5,7.61,9.93,2.24,51.22,83.12,74.25,99.94,3.41,62.3,1.98
NUSA TENGGARA TIMUR,40.28,7.7,4.78,13.74,35.15,73.7,56.67,94.87,3.42,41.8,1.98
KALIMANTAN BARAT,13.54,7.59,5.43,19.22,54.15,77.41,74.77,97.02,4.99,60.74,2.01
KALIMANTAN TENGAH,10.5,8.65,0.82,12.83,28.9,74.33,79.93,98.81,4.23,54.07,0.99
KALIMANTAN SELATAN,9.1,8.46,1.52,4.47,43.5,82.55,86.37,99.74,4.47,55.96,1.52
KALIMANTAN TIMUR,12.75,9.92,0.94,16.19,16.52,90.33,80.07,99.76,6.24,73.18,1.4
KALIMANTAN UTARA,13.63,9.27,2.07,23.01,22.98,82.22,88.33,99.32,4.48,67.21,0.26
SULAWESI UTARA,14.62,9.68,0.21,6.22,41.64,84.05,85.95,99.7,6.56,69.57,0.96
SULAWESI TENGAH,24.63,8.89,1.77,11.92,37.45,75.01,81.67,98.85,3.34,58.61,1.11
SULAWESI SELATAN,17.29,8.63,6.03,10.79,46.39,92.24,87.22,99.64,5.13,69.9,3.35
SULAWESI TENGGARA,22.44,9.25,3.75,17.14,44.1,87.07,86.07,99.7,3.61,72.8,0.98
GORONTALO,30.93,8.02,1.49,18.63,26,79.82,85.34,99.15,2.92,69.48,0.43
SULAWESI BARAT,23.67,8.08,5.53,9.82,36.09,78.88,77.32,99.32,2.73,55.37,0.53
MALUKU,32.2,10.19,0.55,31.68,34.87,76.47,82.58,96.36,6.66,60.66,0.68
MALUKU UTARA,12.6,9.24,1.1,30.71,45.19,79.39,81.55,97.24,4.48,65.42,0.48
PAPUA BARAT,42.76,7.84,2.31,29.38,30.65,73.52,76.03,95.49,5.58,53.81,0.43
PAPUA,53.36,7.02,17.64,36.18,31.61,40.34,40.91,79.96,3.22,27.28,1.6
